,date,review,rating,isEdited,userName,title,developerResponse
0,2021-11-25 11:22:02,"안녕하세요, 저는 어릴 때 만들었던 계정이 친구들에게 퍼져 심한 조롱과 괴롭힘을 받고 있는 학생입니다.
계정을 지우기 위해 온갖 노력을 다 해보았으나 계정 가입할 때 썼던 구글 계정을 날려먹어 제 힘으로는 도저히 지울 수 없게 됐습니다. 지금도 제 영상과 프로필 사진을 본 친구들에게 저를 조롱하는듯한 메세지를 받고 있어요, 관리자님께서 계정을 삭제해주셨으면 합니다. 제발 부탁드려요 너무 힘들어요",5,False,헤드샷킬러,관리자님 제발 이 글 좀 읽어주세요.,
1,2020-03-18 16:04:49,안녕하세요! ㅎ 틱톡이 생길때부터 같이해온 중 2입니다 ㅠ 평소에 틱톡에서 팔로워나 팔로우분들에게도 많이 관심을 받았었는데...업데이트를 하고나서 갑자기 2k~30은 기본으로 찍던 조회수나 하트가 갑자기 1~5도 안되고 아무도 못보는것처럼 하시더라구요.. 그래서 계정이 정지당했나도 생각해봤는데.. 뭐가 문제일까요 ㅠ..? 그리고 업데이트돼면서 아이폰 11pro인데도 불구하고 화질이 엄청 깨져서 나오더군요... 별점 5점드릴테니까 하루라도 빨리 해결해주세요 ㅠㅠ😢,5,False,kyumin1206,운영자님 이거 원래 이런건가요..? ㅠ,
2,2023-02-14 15:22:39,"제가 잘못한것도 없는데 그냥 장난 삼아 13년셍이애요 라고 올렸는데 갑자기 영구 정지 당했네요.. 제 유일한 추억 팔이하는 곳이였는데 제가 옛날에 올린 영상도 다 있었는데 갑자기 사라지니깐 허무하네요 10월달 까지 복구 해 줄 수 있다고 하는데 제발 복구해주세요 .. yys7552계정인데 제발 복구 해 주시면 감사하겠습니다.
그리고 다른 계정으로 로그인 하여고 해도 계속 요건 충족하지 않는다고 하네요 저는 17살인데 왜 안되는지..",5,False,좀비고이름 예슬여신강림 인맥왕따게친추좀옄,제발 계정 복구 해주세요,
3,2021-11-22 01:39:23,"(보라고 별 5개 올립니다) 틱톡 중국앱입니다 개인정보 빠져가는거 ios14에서도 감지했었고요 인도나 몇몇 국가들은 차단을 해버릴정도로 쓰래기 앱입니다.이거 깔기 전에 이거 보고 설치 당장 취소하고,깔려있다면 지워요 당장 이거 특히 중국인들이 만든거라 개인정보 논란이랑 계정 뭐 영구정지 어이없이 먹이는거 논란도 있고요 뭐 흔히 말하는 말로 해서 짱개들이 만든 앱입니다 절때 쓰지마세요",5,False,goddest goddest,틱톡,
4,2018-11-10 03:44:44,이번에 업뎃이 되면서 불편을 느끼고 있는 한 틱톡커입니다 ! 먼저 불편한거는 시간이 영어로 바껴서 힘들어요ㅜ 단어였으면 모르겠는데 그게 h w 이렇게 뜨니깐 도무지 알아보질 못하겠다라고요~ 그리고 캡쳐 못하게 해주세요 .. 영상에 웃긴 장면이 있으면 친구들이 캡쳐할까봐 못올리겠어요 캡쳐하면 검은색 화면으로 캡쳐되게 해주세용 제 친구가 다른 틱톡커 영상을 캡쳐해서 얘 이쁘지 않아? 또는 못생김ㅋㅋ 이러면서 메세지로 보내는데 당사자 기분이 어떨지 생각하니깐 기분이 매우 나쁘더라고요~.. 그리고 댓글에 하트 눌를때 업뎃 전에는 대충눌러도 됐는데 이젠 하트 칸 안에를 꼭 눌러야 되더라고요ㅜㅜ 그 점 고쳐주세용 그리고 이상한 사람들 처리좀 해주세요 보기 안좋아요ㅠ.. 이 점들만 수정하면 틱톡이 더더욱 좋은 어플로 성장 할 것 같습니다 ! 이렇게 긴 장문의 글을 읽어주셔서 감사합니다 행복한 하루 되세요~🥰,5,False,아이폰 기본테마가 너무좋은 1ㅅ,안녕하세요 !,"{'id': 12967535, 'body': '틱톡에 대한 의견 보내주셔서 감사합니다. 말씀하신 의견 반영할 수 있도록 긍정적으로 검토해보겠습니다. 소중한 의견 주셔서 감사합니다! ', 'modified': '2020-01-17T08:13:41Z'}"
5,2020-10-01 06:15:05,솔직히 제가 2018년 초부터 시작한 사람으로서 이건 좀 아니라고 봅니다...제가 원래 처음 시작할땐 만 3세 이상이였구요.그다음 12세 이상으로 바뀌었길래전 뭐 12세가 넘어서 계속 하고 있었습니다.근데!어제 밤 제가 틱톡 들어갔을때 나이를 입력하라고 하길래 하였더니 갑자기 나이가 되지 않는다고 계정이 삭제 된다고 하여서 앱스토어에 들어가 연령을 보니 12세 이상이더라고요.전 12세 이상인데 삭제가 되어 매우 기분이 안 좋았고 14세 이상이어야 한다고 어떤분께서 영상을 올렸는데 스토어에는 12세 이상이라고 되어있기 때문에 매우 납득이 가지 않는 상황입니다.틱톡에 좀 나쁜것들이 올라올때가 있고 너무 어린 아이가 해서 그걸 볼수있기 때문에 그런것은 알겠지만 이건 좀 아니네요....일단 별점 잘 드릴테니 계정 다시 복구해주면 좋겠고요.이 문제점도 해결해 주시면 좋겠습니다.,5,False,카카놀놀라라유유,틱톡 계정 삭제 됬는데 다시 복구해주세요,
6,2022-08-17 16:39:05,"제가 옛날에 한창 틱톡을 했을때 계정이 여러개 있는데
친구들이 영상을 막 돌려보면서 비웃고 자기들끼리
제 영상을 저장해서 보고 하더라고요 제가 어떻게든 지워보려고 옛날폰으로도 했는데 복구가 안되더라고요
제가 올렸던 영상으로 자꾸 제 앞에서 그 이야기를 하며 비웃고 그거에 대해 이야기 하며 조롱하더라고요
제발 지워주세요…",5,False,ㄷㄱㅅㅇ급니,제 흑역사 계정을 삭제해주세요,
7,2023-02-09 01:50:30,"저의 친구의일입니다 계정을 전환하고싶어서 전환하고 30분후에 어? 내계정없어졌어 라고하길래 사진을봤더니 제 친구의 계정이 날아가 본 계정을 찾을수가 없다고합니다 하지만 그 그계정은 아직 남아있긴 해도 영상을 영영올리지 못합니다 왜냐면 당연히 그계정으로 접속이 불가능하기때문입니다
이일에 대해서 저도 유감스럽게 생각합니다 
그 계정을 돌려받을수있다면 친구도 기뻐할것입니다
1~2년동안 지켜온 채널을 돌아갈수없다는 한마디에 친구는 기분이 좋아보이지 않았습니다
제발 돌려주세요….관리자님 제발 이 글을 봐주세요.",4,False,피파모바일팬,계정전환했는데 다른 본 계정이 날라갔습니다. 계선해주시거나 해결책을 알려주세요,
8,2019-07-16 07:57:00,"안녕하세요! 저는 틱톡을 올해 시작했어요. 처음엔 뭣도 모르고 그냥 시작했습니다..그런데 갈수록 정말 재밌더라구요!! 그리고 영상을 찍을때 보통 사람은 15초 찍을 수 있다는 것을 알게 되었습니다. 또 저는 1분권한 있다는 것을 알게 되었죠.. 시간이 지나니 1분 권한 제한은 팔로워 수에 따른 다는 것을 알게 되었습니다. 그때는 아마 10k 팔로워를 모아야 받는거였을거에요.
 그래서 저는 꿈을 가졌습니다. 열심히 해서 10k팔로워 모을 거라고 다짐했죠. 그러던 어느날 500명으로 제한이 바꼈더라구요! 저는 속으로 ‘아싸~!’ 하면서 좋아했어요. 그때 저는 팔로워가 180명 정도 되었습니다. 그러던 어느날.. 또.. 또.. 300명으로 제한이 바뀐거에요.. 그래서 조금 논란이 되던 도중... 얼마전에 제한이 사라지고 말았습니다... 지금 아주 큰 논란이 되었어요.. 심지어 팔로워0명인 분도 1분 권한이 있더군요. 사실 진짜 300명이나 500명까진 봐줄 수 있습니다. 그런데 제한이 아예 뚤려버린 것은 좀 아니라고 생각이 되네요ㅠㅠ 심지어 원래 1분 권한을 받고 싶어 했던 분도 좀 어이없어 하구요... 
다시 원래대로 해달라고 영상 올리신 분도 정말 많습니다.. 다시 제한을 설정해 주시면 안될까요? 저는 현재 210명 입니다. 그런데 사실 저로서도 이해가 안가요.. 주신 것은 감사합니다만... 바꾸어 주셨으면 좋겠네요ㅠㅠ ... 저는 이 사실을 불공평 하다고 생각합니다.... 다시 제한 설정 해주시면 감사하겠습니다ㅠㅜ 이렇게 무릅 꿇고 두손 모아 부탁드립니다... 이점 개선해 주시면 감사하겠습니다❤️
오늘도 좋은 하루 되세요~",5,True,냥코아빠,안녕하세요!,"{'id': 8487870, 'body': '높은 평점을 주셔서 감사합니다. 저희 앱을 이용하실 때 불편한 점이 있으시면 앱 내에서 피드백(개인 홈페이지-우측 상단•••-설정-문제 피드백)을 보내주실 수 있습니다. 틱톡은 여러분의 피드백 하나하나를 중요시합니다. 감사합니다.', 'modified': '2019-05-03T04:30:32Z'}"
9,2019-12-08 08:45:07,"안녕하세요 틱톡 사용자입니다 틱톡 추천을 내리다보면 제페토라는 어플로 만든 동영상이 꽤 많이 정말 많이 나옵니다 . 이 제페토라는 어플때문에 제페토유저들과 틱톡유저들 사이에서 큰 다툼이 잦아집니다 .
아 제페토는 아바타게임처럼 3D캐릭터를 만들어 꾸미고 춤을 추게하거나 월드라는곳에 들어가서 즐길수 있는 어플인데 , 이 제페토가 업데이트를 했습니다 
업데이트 후 변한 모습은 틱톡과 다른점을 찾기가 어려웠고 또한 이렇게 변하여 영상을 충분히 올릴수 있음에도 많은 제페토유저들은 틱톡에 제페토를 사용한 영상을 올리고 있습니다 . 도대체 틱톡은 무엇을 위해 만든건가요 ? 제페토를 반대하는 틱톡유저들은 
제페토가 아닌 손댄스하고 립싱크하는 그런 사람들의 모습을 보고싶어 틱톡을 다운로드한사람들입니다. 그러니까 제가 하고싶은말은 '관심없음'이라는 
버튼을 눌렀으면 효과를 보여주시던가 아니면 제페토영상 추천횟수를 줄여주셧으면 합니다.이렇게 제제하면 다툼도 많이 줄어들것이라고 생각합니다 이상 의견이였습니다 .긴글 읽어주셔서 감사합니다",5,False,ABC_12345678,다섯개해야 보실거같아서 ..,
