,date,developerResponse,review,rating,isEdited,userName,title
0,2022-12-26 12:49:20,"{'id': 34034099, 'body': '안녕하세요. 고객님! 11번가에 관심 가져주셔서 감사합니다. 보다 나은 서비스 제공을 위해 노력하겠습니다. 건강 조심하시고 즐거운 하루 보내세요. 감사합니다.\r\n', 'modified': '2023-01-02T00:19:24Z'}","Skt 사용자라면 무조건 11번가에서 사는게 유리하던 시절이 있었는데 통신사 연계 혜택이 많이 빠지고 있네요 ㅠㅠ 그래도 쇼핑은 한 몰로 모는게 좋다고 해서 여전히 대부분의 온라인 구매는 11번가를 쓰고 있습니다~ 소상공인을 돕는 e 서울사랑상품권 프로모션이나 esg에 대해 알리는 그린 캠페인, 사회적 기업 전용관 같은 활동은 가치 소비에도 일조하는 느낌이라 애용하고 있어요. (Sovac마켓 체험단으로도 활동했어요!) 경기가 계속 어려워지는데 일반 소비자에게 유용한 혜택이 많아졌으면 좋겠습니다!",5,False,마장동주먹고기,11번가 장기 vip 고객입니다
1,2023-09-12 15:12:17,"{'id': 38902864, 'body': '안녕하세요.고객님! 11번가입니다. 서비스 이용에 불편함을 드려 죄송합니다. 불편사항 해결을 위해 ID와 통화가능한 연락처를 voc_app@11stcorp.com 메일로 남겨주시면, 신속하게 문제해결을 할수 있도록 노력하겠습니다. 개인 정보 보호를 위해 고객님의 정보는 꼭 메일로 회신 부탁드립니다. 보다 편안한 쇼핑되도록 노력하겠습니다. 감사합니다.\r', 'modified': '2023-09-14T01:33:33Z'}","아이폰 12promax
앱실행시 첫화면에서 거의 10초간 멈춰있다가 화면움직일수있습니다 개선부탁드립니다",5,False,잼잼ㅈ재밌으여,앱실행시
2,2023-08-07 06:47:18,"{'id': 38180317, 'body': '쇼핑의 즐거움.11번가! 안녕하세요 고객님, 11번가를 이용해주셔서 감사합니다. 생활에 행복을 더하는 11번가가 되도록 노력하겠습니다. 건강 조심하시고 즐거운 하루 보내세요. 감사합니다.', 'modified': '2023-08-09T03:42:07Z'}",11번가덕분에 SKT 계속 쓰고 있습니다 ㅎㅎ 할인혜택이 압도적이라 평소 쇼핑할 때 없으면 정말 아쉽거든요,5,False,daooooooee,굿
3,2023-08-08 01:42:07,"{'id': 38180324, 'body': '쇼핑의 즐거움.11번가! 안녕하세요 고객님, 11번가를 이용해주셔서 감사합니다. 생활에 행복을 더하는 11번가가 되도록 노력하겠습니다. 건강 조심하시고 즐거운 하루 보내세요. 감사합니다.', 'modified': '2023-08-09T03:42:32Z'}",다른 쇼핑몰도 어느정도 리뷰가 잘 되어있긴한데 11번가는 리뷰에 진심인 분들이 많나봐요 구매할때 정말 도움되는 리뷰들이 많더라구요,5,False,lisakim89,좋아요
4,2023-07-27 02:25:45,"{'id': 37984309, 'body': '쇼핑의 즐거움.11번가! 안녕하세요 고객님, 11번가를 이용해주셔서 감사합니다. 생활에 행복을 더하는 11번가가 되도록 노력하겠습니다. 건강 조심하시고 즐거운 하루 보내세요. 감사합니다.', 'modified': '2023-07-31T00:41:09Z'}",집에서 가족 모두 먹을 수 있는 간식 뭐가있을까 하다가 고구마 말랭이 있어서 주문해봤습니다 역시 11번가 리뷰진짜 잘 되어있어요,5,False,WeeHeeeeeEeeEeEeEEeE,11번가 리뷰진짜 잘 되어있어요!
5,2023-09-19 02:09:06,"{'id': 39022096, 'body': '안녕하세요.고객님! 11번가입니다. 서비스 이용에 불편함을 드려 죄송합니다. 불편사항 해결을 위해 ID와 통화가능한 연락처를 voc_app@11stcorp.com 메일로 남겨주시면, 신속하게 문제해결을 할수 있도록 노력하겠습니다. 개인 정보 보호를 위해 고객님의 정보는 꼭 메일로 회신 부탁드립니다. 보다 편안한 쇼핑되도록 노력하겠습니다. 감사합니다.\r\n', 'modified': '2023-09-20T06:24:53Z'}","메인화면 로딩되어서 스크롤 작동이나 버튼 제대로 눌리기까지 거의 10초 기다려야돼요..
핸드폰에 문제 있는줄… 다른 어플들은 안 그러는데 11번가 앱만 껐다 켜도 계속 그런거면 문제있다고 생각합니다.
원래 안 그랬는데 뭘 어찌했기에 이리 느려진건지..",1,False,이타르타,왜 이리 느린가요…
6,2023-01-06 15:32:27,"{'id': 34157394, 'body': '안녕하세요 고객님, 소중한 의견감사합니다. \r\n보다 나은 서비스 제공을 위해\xa0 다양한 의견에 귀 기울이는 11번가가 되겠습니다. 감사합니다.', 'modified': '2023-01-09T00:44:46Z'}",에스케이 포인트 쓸겸 넘어온지 꽤 됐는데 앱이 직관적이고 사용하기 편해서 딴데 못 가겠어요. 리뷰를 쓰거나 보는걸 좋아하는데 저 같은 사람들을 많이 고려한 어플이라는 생각이 들어요. 옷이나 신발 살 때 구매자 치수가 나오게 한 점은 특히 너무 도움이 됩니당. 조금 더 바라자면 옵션명 뿐만 아니라 전체 리뷰 내용에서 키워드를 검색할 수 있게 해주시면 너무 좋을것 같아요. 알고리즘으로 관심상품 홈에 우선 노출되는 점도 마음에 들고 같이 본 상품이 나오는 점도 좋아요. 항상 원하는 제품 검색하는데 한나절 걸렸는데 요즘은 그냥 알고리즘 믿고 적당히 삽니당. 어차피 내가찾는게 그거더라구요ㅋㅋㅋ 다들 11번가에서 즐거운 쇼핑 하세요:),5,False,ChieHye♡,지*켓 10년 쓰다 넘어왔어영
7,2019-05-02 08:52:56,,"상품 두개 시키고 두개 모두 반품 신청드렸습다

한개는 반품 받기까지 정확히 한달걸렸고 지금도 돈 입금 돼지않은 상황입니다.
다른 한 물품은 상품 불량 정확히 설명하고 환불 사유 보내드렸는데 그냥 형식상 외우고 있는 상품 사용설명만 전화로 3번 주저리주저리.....
 관리 도데체 어떻게 합니까? 일 안 합니까? 시스템 개~~판인것 같네요. 판매업체들이 하나같이 다 환불에 대해서 조치가 미흡한것 같은데, 본 11번가 회사측에 적절한 시스템이 부여되지 않으니 이런 일들이 본 사용자 외에도 수많은 고객들 또한 겪고 있는것 같은데요 시스템 하루 빨리 갈아엎길 바랍니다 뭐하는건지 뭐 종잡을 수가 없노",1,False,니네 진짜 일 안하네요,와.... 반품 받아야 하는 물건 있는지도 까먹고 있었습니다
8,2021-09-11 13:07:57,"{'id': 25057178, 'body': '안녕하세요. 11번가입니다. 이용에 불편을 드려 죄송합니다. 자세한 상담을 위해 ID와 통화 가능한 연락처를 voc_app@11stcorp.com 메일로 남겨주시면, 연락드리도록 하겠습니다. 바쁘시더라도 꼭 연락 부탁드립니다.\r\n개인 정보 보호를 위해 고객님의 정보는 메일로 회신 주세요. 감사합니다.', 'modified': '2021-09-13T05:58:30Z'}",9월 2일날 주문한 물품이 일주일 넘게 미국 공항에서 처리가 안됨 홍보는 무슨 10일이내 받을 것 처럼 굴더만 이럴거면 그냥 알리익스프레스에서 살 걸 개후회중 이따위로 할거면 빠른 배송이라는 홍보같은걸 하디마 퉷,1,False,reussiter,아마존 배송 개느려터짐
9,2017-12-14 13:33:14,,"3~4일 전에 아이패드 12.9 가로모드로 사용시 멈춤 현상과 각종 오류가 발생하기에 피드백 요청을 드렸습니다. 
이틀 만에 업데이트가 되었네요. 대박입니다. !!!",5,False,신동아들만셋,요구사항 반영에 단 이틀!!!
