,Unnamed: 0,date,review,rating,isEdited,title,userName
0,0,2020-01-17 15:35:46,아이패드 자막크기가 진심 너무 커요 장난하는것도 아니고;; 그리고 카테고리 디자인을 한번 갈아엎었으면 좋겠는 바람이 넷플릭스에 있는 영화와 드라마를 전체적으로 볼수있는게 아니여서 불편해요... 골라보기가 어렵고 검색해야민 나오는것들도 있고... 제발 자막크기 선택할수있게라도 바꿔주시면 안될까요 진심?...제발....?,3,False,아이패드 자막크기 수정좀 제발,dorothy011
1,1,2022-01-16 16:50:05,"일단 먼저 영화가 너무 적음;; 넷플릭스 가격은 겁나 비싸졌는데 영화는 왤케 빠져요..장난하세요? 영화 장르는 많은데 그중에서 있는게 거의 없잖아요..드라마는 모르겠는데 영화라도 많이 넣어주던가요. 그럴거면 가격 내리세요. 처음에는 괜찮다가 왜 변하는거지? 이해 할수가 없네..
됐고 가격 안내릴거면 영화 더 넣으세요^^ 그리고 자막 크게 직접 수정할수 있게 좀 만들어주셈요..진짜로오..",5,False,별점 높게 하면 위로 뜬다길래 높게 함.,와아나
2,2,2021-11-11 04:52:14,"방송 규제 때문에 모자이크 처리하는 건 알겠지만 왜 애니메이션만 그런 규제를 걸어놓았는지 모르겠습니다 그것도 다른 나라에서는 그렇지 않은데 우리나라에서만 그런 규제가 있다고 합니다 이 때문에 영상을 볼 때 몰입도가 현저히 떨어져요 타 서비스인 웨XX, 왓X 에서는 무삭제심의버전으로 받아온다고 하는데 왜 넷플릭스에서만 방송용 심의버전으로 가지고 오는지 모르겠습니다… 평소 넷플릭스를 정말 애용하는데 이 부분만 고쳐주시면 정말 감사하겠습니다 부탁드리겠습니다",5,False,모자이크 처리 좀 제발,Jdhhc
3,3,2022-01-10 11:35:07,다른거는 다 좋은데 찜한 목록 말고 자신이 평가한 목록들 볼 수 있었으면 좋겠어요. 예전에 되게 재밌게 봤던것들 정주행을 자주하는 편인데 좋다고 평가한 것들을 못 봤서 좀 아쉽네요ㅜㅜ 평가 목록 꼭 추가 됐으면 좋겠어요,5,False,좋아요한 작품만 따로 볼 수 있게…,친구할인코드 묵찌빠
4,4,2019-12-12 08:36:39,"어플 자체는 완전 잘 쓰고 있습니다. 다만
1. 어떤 작품을 실수로 눌러 재생했을 때, 해당 작품이 계속 시청 중인 콘텐츠로 뜨는데, 이걸 삭제할 수 있었으면 좋겠어요.
2. ios13 아이폰X 사용 중입니다. 재생 종료 후 메인 화면이 정상적으로 출력되지 않고 상단 중앙부만 확대되어 출력되는 경우가 있습니다.
3. 한 화를 다 본 후 바로 터치해 하단에 있는 다음화를 눌러 넘어갈 시, 다음화가 재생되고 있음에도 한 화 마지막 부분에 자동으로 팝업되는 다음 화 인터페이스가 계속 떠 있습니다. 터치해도 안 사라져요.
고생 많으십니다!",5,False,그냥 개발적으로 개선됐으면 하는 부분 적어요,양세찬
5,5,2022-08-19 17:00:03,"요즘 바비 시리즈가 많아지더라구요 그래서 넘 좋네요.. ( 바비 프린세스 스쿨도 넣어주세여..) 문제는 계속 시청중인게 사라지는 경우가 종종 있어용 ㅠ.ㅠ 
그것만 고치면 좋을 것 같네요",5,False,굿,-건유
6,6,2023-06-16 15:07:00,예를들어 영어와 한국어 두 언어가 동시에 나오는 자막이요. 이 기능 추가해주시면 정말.. 정말 감사할 것 같아요. 이 말고 다른 애로사항은 없습니다.,5,False,자막 언어를 두 개 이상으로 설정할 수 있으면 좋겠어요,전유정유정
7,7,2019-10-17 10:35:45,"베스트 리뷰에 반대하는게,
저는 다른 사람의 리뷰나 평점은 보고 싶지 않아요.

검색 개선과 카테고리가 좀 더 개선 됐으면 좋겠고요, 어떤 작품들이 업데이트 됐는지 쉽게 볼 수 있었으면 좋겠어요. 넷플릭스는 아직 그런 쪽은 불편해서 트위터의 업데이트 봇을 구독할 수 밖에 없는 상황이예요.",5,False,깔끔하고 편한 어플,hezel07
8,8,2022-11-21 15:42:37,"잘쓰고 잇는 사용자 입니다
작은 화면으로 볼때 중단하고 다시재생누르면 1.5배속->1배속으로바뀌어요ㅠㅠ렉 고쳐주시면 좋을거같아요~감사합니다~",5,False,배속바뀌어요ㅠㅠ,시계제발보이게좀해주세요
9,9,2021-09-23 01:02:03,아니 왜자꾸 아이패드랑 폰으로 볼때만 어떤 드라마든 1~2분남은 시점에서 화면 멈추거나 검은 화면으로 바뀌는지 모르겠거든요 고쳐주세요 에바임,5,False,에바임,김밍글
