,date,review,rating,isEdited,userName,title
0,2022-07-23 17:08:50,심심할 때 하나씩 내리면서 시간 보내기 좋아서 종종 보고있는데요. 어느순간부터 불쾌한 영상들이 자꾸 뜹니다. 야한 영상을 여러 계정으로 올려 자꾸 접하게 만드는 등 원치 않는 영상들을 자꾸 접하게 됩니다. '채널 추천 안함'을 해도 계정이 한 두개가 아니라서 소용이 없고요. 그래도 참고 참아왔는데 오늘은 도저히 못참겠어서 글을 남깁니다. 숏츠를 내리다가 칼로 낙타의 목을 긋는 장면이 적나라하게 노출된 영상을 보게 되었습니다. 이로인해 많은 충격을 받은 상태이구요. 영상을 올릴 때 엄격하게 관리되었으면 합니다. 앞으로는 저뿐만 아니라 모두에게 이런 일이 일어나지 않았으면 좋겠습니다. 그 영상으로 인해 아직까지도 심장이 뛰고 심적으로 많이 고통스럽습니다. 부디 개선해서 이러한 문제들이 발생하지 않도록 발전되었으면 좋겠습니다.,5,False,정아라고해,숏츠 추천
1,2022-02-09 21:15:14,13년도 부터 유튜브 시청하고 19년도 11월부터 현제까지 유튜브 프리미엄을 쓰고있는 사람으로써 처음으로 리뷰 씁니다 숏츠의 불편한점을 먼저 고쳐주지 일반영상으로 볼수있는거를 먼저막으면 어쩌자는건지 모르겠습니다. 이건 그냥 기존 유저들을 기만하는 행위가 아닌가싶습니다 13년도부터 유튜브가 많이 변화해왔지만 제일 싫은게 숏츠를 일반영상으로 못보는겁니다 광고야 회사도 수익이 있어야하니깐 이해를 했다만 광고스킵이 안돼는것과 광고가2개 있는건 저의 지갑으로 해결할수있었습니다 그런데 숏츠가 나오는건 그러려니했는데 이건 진짜 선을 넘은것같습니다 1분조차 안돼는 영상을 넘기지도 못하고 댓글쓰면서 보지도 못하고 틀어놓고 딴 영상을 찾지도 못하고 진짜 비유를 하자면 군대에서 용사들이 문제가 있어서 건의를 하는데 문제해결할 생각을 안하고 그냥 용사를 입막음하는거랑 다름이 없다고 생각이 듭니다 시계가 멈춰있어서 건전지를 사오면 되는데 굳이 손목시계를 사오는것같습니다. 닭잡는데 소잡는칼로 난도질 하는것 같습니다. 바퀴벌레 잡아야하는데 그냥 집을 폐쇄시키는것같습니다. 제 리뷰는 묻히겠죠 그런데 그 아무나 제 리뷰를 한번이라도 읽고 여러분도 좀 생각해보십시오,5,False,수징수징,숏츠 일반영상으로좀 보고싶습니다
2,2021-07-21 12:06:17,"기존에 품질/화질 메뉴에서 바로 구체적인 화질을 선택할 수 있었던 방식이 유튜브를 원하는 해상도로 감상하는데 훨씬 좋았습니다.
업데이트 이후 1080p 이상의 해상도로 영상을 시청하기 위해서는 무조건 품질-고급-세부 해상도 선택을 거쳐야 한다는 점이 매우 불편합니다.
고급 해상도 옵션으로 고정하는 설정도 제공되지 않아 더욱 불편함이 가중되고 있습니다.
구글 유튜브 팀의 빠른 판단과 적절한 조치 부탁드립니다.",5,False,AAR0478,유튜브 화질 선택 메뉴가 퇴보했네요.
3,2020-05-31 20:16:55,"업뎃후 불편한 점
1. 댓글 이동 : 익숙했던 디자인이 사라짐
2. 댓글 읽다가 나가지는 경우 : 광고시 저절로 나가짐, 나가진 후 다시 댓글 눌렀을때 팝업 광고로2차 닫힘, 오른쪽 기준으로 버튼이 많은데x표로 완전히 나가게 되어있음
3. 관련영상,추천영상 알고리즘 이상해짐 : 이건 영상 재생시 밑에 뜨는 것 들 입니다 전혀 관련이 없어서 검색해서 찾아봐야 합니다",5,False,카키코코할머니,피드백은 전혀 받을 생각이 없으신건지..
4,2021-10-09 16:58:57,"아이폰 se2를 사용하고 있는 사용자입니다.
확실히는 모르겠지만 ios15 업데이트 이후
영상 최소화 과정에서 약간의 지연이 걸립니다.
(영상을 아래로 스크롤 했을 때, 영상크기가 최소화 되는 것)
유튜브를 애용하고 있는 이용자로서 원인이 어떤 것인지 그리고 개선방법을 알고 싶습니다.",5,False,dhy004426,영상 최소화 지연
5,2022-11-07 08:06:43,"아이패드는 아직까지 앰비언트 모드 안되는 이유가 뭡니까? 업데이트 내역에 반차쓰니 마니 카페인이 어쩌니 헛소리할 시간에 일이나 똑바로하세요. 일을 잘하는 사람이 그런 말해야 센스있어보이고 멋진거지, 이딴식이면서 저렇게하명 개찐따쓰레기 폐급직원같아보여요.",5,False,god2323,업데이트 내역에 개소리할 시간 있으면 일이나 똑바로 하세요
6,2021-09-23 13:46:32,"영상 볼 수 있는걸론 원탑이죠.. 이젠 게임보다 유튜브를 더 많이 하기도 하죠. 그런데 유튜브가 가면 갈수록 쓸데없는 업데이트만 하고 초심을 잃어가고 있어요. 그 쓸데없는 커뮤니티 가이드는 선량한 영상만 맥이고 ... 해야할 일은 안하고. 댓글창도 이상한데로 옮겨놓고, 기능들도 복잡해 졌어요. 보기엔 깔끔하겠지만 쓰기가 너무 불편해 졌어요. 제발 초심좀 찾길 바라고 어차피 구글에선 한국 리뷰따윈 보지도 않을 텐데 그냥 적어봐요.. 업데이트 추천드리지 않습니다.",5,False,DAEN1201,좋긴한데
7,2022-08-02 05:22:46,별 다섯개아니면 보지도않을것같아 씀니다. 유튜브 프리미엄 몇년째 쓰는사람인데 쇼츠중에 채널추천안함 누르는데도 똑같은 사람뜨고 신고해도 안되던데 문제좀 해결해주세요 왠만해서 리뷰안쓰는데 너무 불쾌합니다 이상한 염소목자르는거나오고 그런거 본적없는데 한번 나와서 삭제해도 그게 이어져서 계속나와요,5,False,빠싸,쇼츠문제
8,2021-03-30 10:38:33,유튜브 정말 이젠 거의 없으면 안되는 수준의 플랫폼이 되었지요. 정말 잘 사용하고 있는데 갈수록 광고에 대한 부분이 과해지는 것 같아요. 몇초가 사실은 굉장히 짧은 시간이지만 급한 일이 있을때 광고때문에 가지고있는 시간에 정보를 받기 어려워 정말 불편합니다. 은근슬쩍 광고 두개넣고 이렇게 하는거 정말 너무 당황스러워요. 몇년동안 광고 거의 없이 잘 사용했는데 이렇게 몇달만에 갑자기 광고 수가 눈에 보일만큼 늘어나니 여간 마음이 불편합니다 ㅜㅠ 왜 이런 급격한 변화를 만드시는건가요?  유튜브 프리미엄 사용을 권장하시는것은 인지하고 있었지만 가격이 엄청 저렴한것도 아니고 그냥 유튜브 별로 사용하고싶지 않은 마음만 들어요. 제발 저 작은 사람의 목소리지만 부디 조금만큼이라도 고려해주시길 바랍니다.,5,False,아진짜어쩌라고,제발
9,2023-03-01 14:38:07,선호하지 않는 영상이 연관도 없는 검색어에도 자꾸 나타납니다. 예전부터 그랬는데 그때는 크게 심한건 없고 무시하면 되니까 그러려니 했는데 요새 자꾸 이런 성인영상이 과하게 나타나요. 정보를 얻고싶어서 내리다가 깜짝놀라고 당황한 적이 너무 많습니다. 어떻게 조치를 좀 해주셨으면 좋겠어요.,4,False,대리효도인,검색어랑 상관도 없는 혐오스럽고 선정적인 영상 제발 안뜨게 해주세요
