,date,review,rating,isEdited,title,userName,developerResponse
0,2023-08-28 20:41:35,"홈에서 왼쪽으로 스와이프하면 쇼핑 바로 나오는거 편했는데, 이번이 업데이트되면서 바뀐 clip 싫어요. 조용한 사무실에서 갑자기 소리나고 내가 관심있는 내용도 아니고 무슨 알고리즘으로 재생되는 클립인지도 모르겠고… 그리고 이거 물어보려고 1:1 문의 메뉴 찾았는데 카테고리가 애매하게 나뉘어있어서 어디다 물어봐야할지 모르겠고 스마트봇은 말귀 못 알아듣는 멍청이고… 하아",2,False,clip 메뉴 삭제할 수 없나요?,zzHOI,
1,2022-03-27 15:15:24,"신버전 적응하려고 몇달간 써봤지만 도저히 사용성에 적응이 안됩니다. 네이버 앱에 처음 진입했을때 바로 그날의 이슈를 알 수 있는게 좋았는데 신버전은 아무리 커스텀을 해도 구버전 만큼은 아닙니다.
새로운 변화도 좋지만 기존의 것을 유지하길 바라는 유저의 마음도 알아주세요ㅠㅠ구버전 지원을 아예 없애시는 것 보다 그냥 지원 안하더라도 남겨주시길 바라요",3,False,제발 구버전도 지원해주세요ㅜㅜ,일론 머스크,
2,2022-08-04 17:28:47,"네이버 다 좋게 사용하고 있는데 진짜 지식인 답글 달린 질문 삭제 하는거 하나만 추가 해주세요 ㅠㅠ 
제발 부탁드립니다 ㅠㅠ 지우려고 애써 댓글 달아주신분들에게 지워달라고 요청하기에는 너무 죄송한 말음도 드는것 같습니다 ㅠㅠ 전 네이버를 믿으니 ..
언젠가는 추가기능이 생기길 ..",5,False,지식인 삭제기능 추가 부탁드려요 😭,소윤임,
3,2022-07-30 14:48:06,"1.검색하고 블로그나 카페 들어갈땐 다크모드 풀림
2.플레이스 사진 확대 안됨

1번은 나름 적응할 순 있겠는데 2번은ㅠ 원래 됐다가 지금 안되는 것 같음. 식당 메뉴판 사진 쪼만한거 뭐라 써져있나 확대하고싶은디 안됨ㅜㅜ",5,False,다 좋은데,귀오미는귀요미,
4,2021-02-22 12:23:33,"제목 그대로 네이버는 실검을 폐지하지 말아주시길 바랍니다. 네이버는 하나의 플랫폼을 벗어나 국민의 소통창구의 역할을 하고 있는 중요한 수단이 되었습니다. 최근에 있었던 학폭사건이나 정인이 사건, 여러 사회적인 문제등 중요한 사건에 이목을 끄는 데에는 네이버의 역할이 정말로 컸고 그 역할을 도와주는 실시간 검색어의 역할도 중요했습니다. 그러므로 외압(정부의 압력)이 있다면 다시 한번 생각을 하여 실검을 폐지하지 말길 바랍니다. 중요한 소통의 수단이자
피해자와 도움이 필요한자의 목소리를 낼 수 있는 창구가 사라지게 되는 것입니다. 끝까지 버텨주시길 바랍니다.",5,False,네이버는 실검을 폐지하지 말아주십시오,테정테세문닫아주세,
5,2023-02-15 13:45:22,아까 미국에서 로그인 시도?(에서 그쳤는지는 모름) 로그인 됐다고 G메일이 와서 심장이 떨어지는 줄 알았는데 옛날에 제가 해외 로그인 차단을 해 놨더라고요.? 그래서 그런가 아무 일도 안 생겼어요.(아직 안 일어난 걸 수도.?!) 어쨌든 그래서 결론은 기능 만들어 주셔서 감사합니다! 원래 리뷰를 안 남기는데 너무 감사해서 남기게 됐네요🙈 앞으론 2단계 인증도 하려고요.,5,False,해킹 막은 듯?,도윤70,
6,2021-02-02 04:10:08,"아직도 익숙해지지 못했습니다.
그만큼 불편함이 많은 디자인을 왜 고수하는지 모르겠습니다.
아이패드에서 기존 네이버가 안돼서 너무 힘들어요.
한눈에 보기 편하게 해주세요 부탁드립니다.",5,False,제발 기존 네이버 돌려주세요,기존네이버주세요,
7,2020-05-01 14:05:50,"네이버란 포털사이트의 강점이던 실시간 검색어 확인이 너무 어려워졌다.
그마저도 연령별로 취향별로 실검이 달라진다.
내가 원하는 정보는 전체적인 국민 모두가 바라보고 있는 이슈인데 그걸 아는게 너무 어려워졌다.

업데이트이후 어플 쓰는게 너무 매우 아주 불편하다.",5,False,너무 불편해짐,우리두근,
8,2020-08-13 07:21:26,"네이버가 가장 정보도 많고 이쁜 제품도 많더라구요 
쇼핑하다가 불편했던점은 후기를 볼때 모음전 같은 경우는 옵션이 다양한데 보고싶은 옵션만 딱 골라서 볼 수 있었음 좋겠어요 
그리고 중복제품들이 너무 많더라구요,, 그래서 중복제품은 걸러내는? 그런 필터가 있었음 좋겠습니다 (이것은 힘들려나요? ㅎㅎ)",5,False,검색 쇼핑은 여기만 해요,하나파ㅏ네하나ㅑㅊ,
9,2023-01-13 14:14:40,"지식인 삭제기능 하나만 추가해주세요 제발 ㅜㅜ 진짜 흑역사가 있는데 삭제를 못해서 안달이에요 😭 전 네이버를 믿으니 .. 언젠가는 추가해 주신다고 믿을게요 ,, ㅜㅠㅜ",5,False,너무너무 좋은데 제발 ㅠㅠ 😭,「 레오왕쟈 」,
10,2019-03-30 11:22:21,"제가지금 아이폰과 아이패드 둘다 네이버앱을쓰는데 이번업데이트이후 아폰은 기존버전으러 사용하기가있는데 아이패드에는 그기능이없네요.. 아이패드에도 되게해주세요 기존버전에 너무익숙해져있고 구글을 많이사용하지않는
사용자인 저로써는 당황스럽네요",5,False,아이패드 앱 이전버전으로돌리기,심영한,
11,2023-10-07 12:20:35,업데이트 뜰때마다 이제 클립 없어지나?! 기대하면서 업뎃함. 방금 업뎃했는데 그대로임. 왜 포털이 유툽이나 틱톡처럼 구는지 모르겠네. 쓸모없다고 치우라고 난린데 귀닫고 개발하냐? 카페앱 이웃소식 강제로 보게 만드는것도 등신같은데 이젠 숏폼에 꽂혀서 불편하게 만드네,1,False,등신같은클립기능좀치우라고요;,illfollowu,
12,2023-08-26 12:05:12,숏폼과 클립 정말 너무 필요없고 보기에도 좋지 않은데 왜 갑자기 생겼나요? 필요하면 선택사항으로 추가하게 해주세요 기존에는 마지막 화면에서 넘기면 첫 페이지가 나왔는데 클립화면에서 다음장으로 넘기는 기능이 안돼서 너무 불편하고 클립 보기싫어요!!!!!!!!!!!!!!!!!!! 업데이트 전으로 빨리 돌려주세요ㅡㅡ!!,1,False,왜 선택사항 아닌 강제로 클립과 숏폼을 봐야하나요!!!!,코쿄코몽,
13,2023-06-23 15:52:31,저능아 or 중학생들 모아놓은듯 ㅋㅋ 네이버기업 돈모아서 하는게 뭔지 ㄹㅇ 이해안됨ㅋㅋ 앱개발 일하는데 인증하는데 앱오류로 계정 인증 정지먹고 고객센터로 풀어야함 ㅋㅋ 네이버는 국내 1위타이틀 버리고 초심돌아가서 옛날 kbs 스펀지 방송할때 광고하던 그시절 수준으로 돌아가서 다시개발해야됨 ㅋㅋ 카드인증히는데 왜 쿠팡보다 더귀찮게 고객센터 일하는 시간에 전화해야됨? ㅋㅋ ㄹㅇ 정신차리세요,1,False,앱개발자 ㄹㅇ ㅋㅋ,긋나,
